"point_4326";"point_4326";"posicao"
"POINT(-43.1943613 -22.9384409)";"POINT(-4808374.30505668 -2624575.80140079)";239
"POINT(-43.1943015 -22.9061147)";"POINT(-4808367.64815113 -2620668.74037382)";240
"POINT(-43.1938761 -22.905975)";"POINT(-4808320.29283975 -2620651.85775069)";241
"POINT(-43.1937833 -22.9386164)";"POINT(-4808309.962391 -2624597.01550814)";242
"POINT(-43.1937181 -22.9386269)";"POINT(-4808302.7043602 -2624598.28472911)";243
"POINT(-43.1930362 -22.9385762)";"POINT(-4808226.79559943 -2624592.15620591)";244
"POINT(-43.1929469 -22.9385648)";"POINT(-4808216.85476891 -2624590.77819509)";245
"POINT(-43.1927443 -22.905594)";"POINT(-4808194.30144007 -2620605.81432144)";246
"POINT(-43.1926774 -22.905572)";"POINT(-4808186.85416614 -2620603.15564969)";247
"POINT(-43.1915631 -22.9384296)";"POINT(-4808062.81085754 -2624574.43547915)";248
"POINT(-43.1912096 -22.9383881)";"POINT(-4808023.45941755 -2624569.41904225)";249
"POINT(-43.1910531 -22.9050496)";"POINT(-4808006.03791724 -2620540.02440714)";250
"POINT(-43.1909695 -22.9383304)";"POINT(-4807996.73160781 -2624562.44438434)";251
"POINT(-43.1907745 -22.9382414)";"POINT(-4807975.02430711 -2624551.68625232)";252
"POINT(-43.1906849 -22.904927)";"POINT(-4807965.05008073 -2620525.20841952)";253
"POINT(-43.1906305 -22.938148)";"POINT(-4807958.99430043 -2624540.3962652)";254
"POINT(-43.1905261 -22.9380363)";"POINT(-4807947.37254559 -2624526.89422445)";255
"POINT(-43.1904292 -22.9379041)";"POINT(-4807936.58568693 -2624510.91420495)";256
"POINT(-43.1904293 -22.9048447)";"POINT(-4807936.59681888 -2620515.26262132)";257
"POINT(-43.1903891 -22.9378046)";"POINT(-4807932.12177535 -2624498.88689344)";258
"POINT(-43.1903558 -22.9048222)";"POINT(-4807928.41483631 -2620512.54354024)";259
