"point_4326";"point_4326";"posicao"
"POINT(-43.2054841 -22.910163)";"POINT(-4809612.48948888 -2621157.9814531)";226
"POINT(-43.2041039 -22.9096429)";"POINT(-4809458.84632769 -2621095.12603325)";227
"POINT(-43.2026759 -22.9091878)";"POINT(-4809299.88209483 -2621040.12622804)";228
"POINT(-43.2023909 -22.909096)";"POINT(-4809268.15603996 -2621029.03202472)";229
"POINT(-43.2011401 -22.9087221)";"POINT(-4809128.91762087 -2620983.84558136)";230
"POINT(-43.2010786 -22.9087022)";"POINT(-4809122.07147219 -2620981.44063641)";231
"POINT(-43.200712 -22.9085841)";"POINT(-4809081.26174686 -2620967.16808093)";232
"POINT(-43.2005637 -22.9085362)";"POINT(-4809064.75306638 -2620961.37930033)";233
"POINT(-43.2000805 -22.9083788)";"POINT(-4809010.96348843 -2620942.35730916)";234
"POINT(-43.1995428 -22.9080537)";"POINT(-4808951.10699823 -2620903.06862857)";235
"POINT(-43.1981911 -22.9076218)";"POINT(-4808800.63644252 -2620850.87320016)";236
"POINT(-43.1981475 -22.9076063)";"POINT(-4808795.78291272 -2620849.00001701)";237
"POINT(-43.1979843 -22.9075481)";"POINT(-4808777.61557183 -2620841.96651829)";238
"POINT(-43.1965567 -22.9070993)";"POINT(-4808618.69586677 -2620787.72891824)";239
"POINT(-43.1960548 -22.9392672)";"POINT(-4808562.82461434 -2624675.68321867)";240
"POINT(-43.195848 -22.9385744)";"POINT(-4808539.80374364 -2624591.93862525)";241
"POINT(-43.1957633 -22.9383959)";"POINT(-4808530.37498278 -2624570.36189051)";242
"POINT(-43.1957247 -22.9068102)";"POINT(-4808526.07805043 -2620752.79120098)";243
"POINT(-43.1956103 -22.938225)";"POINT(-4808513.34310068 -2624549.70385573)";244
"POINT(-43.1954523 -22.938135)";"POINT(-4808495.75462114 -2624538.82485434)";245
"POINT(-43.1952765 -22.9381095)";"POINT(-4808476.18465466 -2624535.74247192)";246
"POINT(-43.1951104 -22.938132)";"POINT(-4808457.69448724 -2624538.46222108)";247
"POINT(-43.1948677 -22.9064696)";"POINT(-4808430.67724682 -2620711.62980746)";248
"POINT(-43.1945936 -22.9063683)";"POINT(-4808400.16457439 -2620699.38775705)";249
"POINT(-43.1945144 -22.9383884)";"POINT(-4808391.34807072 -2624569.45530564)";250
"POINT(-43.1943787 -22.9062927)";"POINT(-4808376.24201582 -2620690.25154375)";251
"POINT(-43.1943613 -22.9384409)";"POINT(-4808374.30505668 -2624575.80140079)";252
"POINT(-43.1943155 -22.9062709)";"POINT(-4808369.206624 -2620687.61702817)";253
"POINT(-43.1937833 -22.9386164)";"POINT(-4808309.962391 -2624597.01550814)";254
"POINT(-43.1937181 -22.9386269)";"POINT(-4808302.7043602 -2624598.28472911)";255
"POINT(-43.1935497 -22.9060104)";"POINT(-4808283.95815796 -2620656.13580816)";256
"POINT(-43.1930362 -22.9385762)";"POINT(-4808226.79559943 -2624592.15620591)";257
"POINT(-43.1929469 -22.9385648)";"POINT(-4808216.85476891 -2624590.77819509)";258
"POINT(-43.1927599 -22.9057441)";"POINT(-4808196.03802412 -2620623.95372524)";259
"POINT(-43.1926974 -22.9057236)";"POINT(-4808189.08055595 -2620621.4763238)";260
"POINT(-43.1915631 -22.9384296)";"POINT(-4808062.81085754 -2624574.43547915)";261
"POINT(-43.1912096 -22.9383881)";"POINT(-4808023.45941755 -2624569.41904225)";262
"POINT(-43.1911943 -22.9052388)";"POINT(-4808021.75622934 -2620562.88891023)";263
"POINT(-43.1909695 -22.9383304)";"POINT(-4807996.73160781 -2624562.44438434)";264
"POINT(-43.1909371 -22.9051555)";"POINT(-4807993.12485631 -2620552.82224082)";265
"POINT(-43.1907745 -22.9382414)";"POINT(-4807975.02430711 -2624551.68625232)";266
"POINT(-43.1907192 -22.9050832)";"POINT(-4807968.86833926 -2620544.08490853)";267
"POINT(-43.1906305 -22.938148)";"POINT(-4807958.99430043 -2624540.3962652)";268
"POINT(-43.1905261 -22.9380363)";"POINT(-4807947.37254559 -2624526.89422445)";269
"POINT(-43.1904753 -22.9050062)";"POINT(-4807941.71751546 -2620534.77959433)";270
"POINT(-43.1904292 -22.9379041)";"POINT(-4807936.58568693 -2624510.91420495)";271
"POINT(-43.1903976 -22.9049823)";"POINT(-4807933.06799102 -2620531.89132255)";272
"POINT(-43.1903891 -22.9378046)";"POINT(-4807932.12177535 -2624498.88689344)";273
"POINT(-43.1901589 -22.9367051)";"POINT(-4807906.49602857 -2624365.98266789)";274
"POINT(-43.1900918 -22.9364837)";"POINT(-4807899.02649074 -2624339.22063787)";275
"POINT(-43.1900706 -22.9364426)";"POINT(-4807896.66651754 -2624334.25262357)";276
"POINT(-43.1900399 -22.9363447)";"POINT(-4807893.24900917 -2624322.41884374)";277
"POINT(-43.1899769 -22.9361949)";"POINT(-4807886.23588125 -2624304.31160577)";278
"POINT(-43.1896207 -22.935781)";"POINT(-4807846.58387863 -2624254.28109714)";279
"POINT(-43.1894224 -22.9355645)";"POINT(-4807824.5092236 -2624228.11153951)";280
"POINT(-43.1890295 -22.935339)";"POINT(-4807780.77179567 -2624200.85414637)";281
"POINT(-43.1889859 -22.935314)";"POINT(-4807775.91826587 -2624197.83226523)";282
"POINT(-43.188722 -22.9351752)";"POINT(-4807746.54105225 -2624181.05479126)";283
"POINT(-43.1886729 -22.9351496)";"POINT(-4807741.07526525 -2624177.96038872)";284
"POINT(-43.1886517 -22.9044158)";"POINT(-4807738.71529205 -2620463.43097116)";285
"POINT(-43.1885838 -22.9043951)";"POINT(-4807731.15669863 -2620460.92942446)";286
"POINT(-43.1882201 -22.9042775)";"POINT(-4807690.66979982 -2620446.71774611)";287
"POINT(-43.1878291 -22.9347103)";"POINT(-4807647.14387892 -2624124.86004876)";288
"POINT(-43.1874839 -22.9345236)";"POINT(-4807608.7163907 -2624102.29275862)";289
"POINT(-43.187437 -22.9039915)";"POINT(-4807603.49550658 -2620412.1553825)";290
"POINT(-43.18645 -22.9036812)";"POINT(-4807493.62316917 -2620374.65650889)";291
"POINT(-43.1864063 -22.9337786)";"POINT(-4807488.75850742 -2624012.2414822)";292
"POINT(-43.1863246 -22.9036362)";"POINT(-4807479.66370502 -2620369.21839384)";293
"POINT(-43.1860748 -22.9335756)";"POINT(-4807451.85609622 -2623987.70410619)";294
"POINT(-43.185539 -22.9333655)";"POINT(-4807392.21111306 -2623962.30856512)";295
"POINT(-43.1854284 -22.9333343)";"POINT(-4807379.89917737 -2623958.5373125)";296
"POINT(-43.1853238 -22.9333071)";"POINT(-4807368.25515864 -2623955.24955452)";297
"POINT(-43.1847346 -22.9333085)";"POINT(-4807302.66571466 -2623955.41877734)";298
"POINT(-43.1844855 -22.9332868)";"POINT(-4807274.93602951 -2623952.7958238)";299
