dataHora,ordem,linha,latitude,longitude,velocidade
10-15-2017 11:21:46,A27633,433,"-22.91398","-43.177711",36
10-15-2017 11:23:04,D87859,,"-22.91696","-43.607441",0
10-15-2017 11:26:39,C30226,731,"-22.85931","-43.384338",0
10-15-2017 11:28:26,D87309,770,"-22.91753","-43.6077",3
10-15-2017 11:30:01,B58024,622,"-22.83699","-43.286201",7
10-15-2017 11:33:52,A37580,538,"-22.9021","-43.19698",0
10-15-2017 11:33:55,A37658,538,"-22.903879","-43.19595",17
10-15-2017 11:39:55,A29137,474,"-22.868441","-43.29166",0
10-15-2017 11:45:01,D53575,393,"-22.88341","-43.495098",13
10-15-2017 11:46:00,C30218,,"-22.94978","-43.34824",0
10-15-2017 11:48:39,C47659,,"-23.00152","-43.36808",57
10-15-2017 11:48:59,B27192,629,"-22.825609","-43.332279",0
10-15-2017 11:54:05,A55135,,"-22.90604","-43.260941",0
10-15-2017 11:57:04,D53708,819,"-22.88368","-43.495041",0
10-15-2017 12:01:00,D53538,393,"-22.883261","-43.49511",0
10-15-2017 12:02:49,D53507,397,"-22.882441","-43.495941",48
10-15-2017 12:03:19,D13366,,"-22.87644","-43.420071",0
10-15-2017 12:07:06,C47954,2111,"-22.95303","-43.349731",0
10-15-2017 12:12:22,A37704,581,"-22.902349","-43.197231",0
10-15-2017 12:12:28,D87437,,"-22.918131","-43.608551",0
10-15-2017 12:13:45,B32801,,"-22.81801","-43.393211",0
10-15-2017 12:17:35,D17056,841,"-22.919849","-43.60804",0
10-15-2017 12:17:39,A27527,,"-22.950239","-43.184158",17
10-15-2017 12:20:15,B25808,,"-22.9021","-43.299339",0
10-15-2017 12:21:46,C30088,LECD23,"-22.89196","-43.34824",0
10-15-2017 12:22:11,B82638,711,"-22.858355","-43.370872",0
10-15-2017 12:23:04,D87766,,"-22.916981","-43.608341",0
10-15-2017 12:24:41,C27078,775,"-22.81035","-43.329281",15
10-15-2017 12:28:32,A27639,548,"-22.99301","-43.252682",38
10-15-2017 12:30:57,A29039,461,"-22.86833","-43.291611",0
10-15-2017 12:38:10,B44560,,"-22.86038","-43.356831",0
10-15-2017 12:39:00,B32534,,"-22.81727","-43.39307",0
10-15-2017 12:40:21,A29104,,"-22.868441","-43.291691",0
10-15-2017 12:41:36,B63006,,"-22.792431","-43.294399",0
10-15-2017 12:46:36,A29141,474,"-22.86816","-43.29171",0
10-15-2017 12:50:33,B63034,,"-22.79249","-43.294392",0
10-15-2017 12:55:16,A29040,,"-22.868481","-43.29179",0
10-15-2017 12:59:29,A41186,463,"-22.958836","-43.191143",32.78
10-15-2017 13:00:59,A27629,439,"-22.91987","-43.253651",0
10-15-2017 13:05:00,A27673,,"-22.920931","-43.25642",0
10-15-2017 13:05:10,C44596,781,"-22.860439","-43.356312",0
10-15-2017 13:09:58,B32601,,"-22.815769","-43.394791",0
10-15-2017 13:10:40,C47759,862,"-22.953421","-43.349659",0
10-15-2017 13:11:24,A27613,,"-22.918501","-43.21299",49
10-15-2017 13:16:29,C30079,,"-22.95224","-43.349339",1
10-15-2017 13:16:49,B44505,,"-22.86026","-43.35635",0
10-15-2017 13:18:43,D87031,,"-22.917049","-43.607071",0
10-15-2017 13:19:02,D13333,383,"-22.886539","-43.424419",0
10-15-2017 13:22:52,B73137,,"-22.83106","-43.3241",0
10-15-2017 13:25:52,C47476,,"-23.02511","-43.52158",0
10-15-2017 13:29:03,D87869,,"-22.916929","-43.60746",0
10-15-2017 13:30:44,C47676,613,"-22.880409","-43.268978",0
10-15-2017 13:31:04,C13052,,"-22.88728","-43.389332",26
10-15-2017 13:31:04,C13052,,"-22.88728","-43.389332",26
10-15-2017 13:31:09,A71603,,"-22.93058","-43.254398",0.93
10-15-2017 13:33:35,C30264,550,"-22.986019","-43.228161",0
10-15-2017 13:36:25,C30317,557,"-22.950541","-43.348251",0
10-15-2017 13:36:31,B31090,,"-22.80615","-43.308041",15
10-15-2017 13:40:04,C27119,774,"-22.817209","-43.301941",0
10-15-2017 13:41:04,C44503,,"-23.001711","-43.328838",0
10-15-2017 13:41:27,D17076,,"-22.919371","-43.607449",0
10-15-2017 13:41:35,B82502,,"-22.857578","-43.370872",5.93
10-15-2017 13:42:07,A01,,"-22.86834","-43.291618",0
10-15-2017 13:47:08,D13357,,"-22.876051","-43.419281",0
10-15-2017 13:51:07,B44661,638,"-22.860331","-43.35614",0
10-15-2017 13:55:21,C30171,,"-22.9503","-43.347839",0
10-15-2017 13:57:53,C47750,,"-22.953239","-43.34993",0
10-15-2017 13:59:36,A41363,108,"-22.874773","-43.241123",0.74
10-15-2017 14:01:36,A37538,582,"-22.902411","-43.19606",0
10-15-2017 14:04:28,C41123,309,"-22.87542","-43.240421",0
10-15-2017 14:05:27,D53753,,"-22.8839","-43.49638",3
10-15-2017 14:06:59,C30318,557,"-22.951321","-43.348351",0
10-15-2017 14:07:27,D53503,393,"-22.88203","-43.496922",44
10-15-2017 14:08:35,B44677,,"-22.90045","-43.233059",42
10-15-2017 14:08:45,A27632,,"-22.916321","-43.25127",0
10-15-2017 14:09:01,D86246,843,"-22.894043","-43.532242",0.93
10-15-2017 14:14:28,B44640,638,"-22.86058","-43.356441",0
10-15-2017 14:15:37,D13200,,"-22.87604","-43.42028",0
10-15-2017 14:16:37,B32586,386,"-22.83519","-43.361279",53
10-15-2017 14:17:03,C30339,565,"-22.950701","-43.34827",0
10-15-2017 14:24:27,C20104,859,"-22.917946","-43.360924",0.74
10-15-2017 14:25:55,B32755,,"-22.815901","-43.395031",0
10-15-2017 14:26:29,D53521,397,"-22.88335","-43.495098",0
10-15-2017 14:26:59,C50144,302,"-22.929255","-43.253712",0
10-15-2017 14:28:19,B28728,2343,"-22.814449","-43.1889",0
10-15-2017 14:29:48,D53632,393,"-22.883221","-43.495098",2
10-15-2017 14:31:51,C30243,,"-22.979","-43.333488",0
10-15-2017 14:35:04,D53662,,"-22.88336","-43.4953",0
10-15-2017 14:35:31,A41077,460,"-22.875391","-43.241425",0
10-15-2017 14:35:56,C47760,,"-23.024771","-43.521389",32
10-15-2017 14:35:59,D13254,,"-22.876459","-43.41991",0
10-15-2017 14:36:43,B32542,,"-22.815901","-43.394989",0
10-15-2017 14:37:40,B28581,324,"-10.92696","-37.11377",0
10-15-2017 14:37:47,A41822,2012,"-23.01281","-43.540649",0
10-15-2017 14:38:32,C27079,774,"-22.816839","-43.30212",0
10-15-2017 14:39:45,D87280,,"-22.91861","-43.607319",18
10-15-2017 14:40:02,D86722,2804,"-22.89407","-43.532715",0
10-15-2017 14:40:51,A27623,432,"-22.91625","-43.250881",1
10-15-2017 14:43:44,D53638,759,"-22.861919","-43.44593",42
10-15-2017 14:44:06,A27637,,"-22.919941","-43.253609",0
10-15-2017 14:46:20,B58117,,"-22.838181","-43.285461",40
10-15-2017 14:47:07,B82538,265,"-22.857353","-43.371033",0.93
10-15-2017 14:52:13,B71110,239,"-22.905674","-43.314743",41.11
10-15-2017 14:52:21,D87126,821,"-22.919741","-43.6073",0
10-15-2017 14:52:51,A50204,603,"-22.929087","-43.253235",0
10-15-2017 14:53:56,B28725,2343,"-22.81464","-43.188961",0
10-15-2017 14:55:27,B27157,639,"-22.81723","-43.301552",0
10-15-2017 14:58:45,D53641,,"-22.88438","-43.494949",0
10-15-2017 14:59:22,C82529,651,"-22.910431","-43.269794",0.19
10-15-2017 14:59:45,B32842,,"-22.815849","-43.394989",0
10-15-2017 15:00:01,D87410,398,"-22.9175","-43.608231",0
10-15-2017 15:00:25,D53548,397,"-22.883289","-43.49511",0
10-15-2017 15:00:45,D53572,397,"-22.88331","-43.495041",0
10-15-2017 15:03:28,D17043,,"-22.918159","-43.608139",10
10-15-2017 15:05:01,A27663,,"-22.920891","-43.255772",0
10-15-2017 15:05:03,B32527,,"-22.81584","-43.394871",0
10-15-2017 15:06:31,C30302,,"-22.96619","-43.18671",0
10-15-2017 15:07:12,D87301,,"-22.916599","-43.607689",0
10-15-2017 15:11:52,A03,001,"-22.935101","-43.196949",19
10-15-2017 15:12:47,B42536,,"-22.87676","-43.330299",18
10-15-2017 15:15:44,C30063,,"-23.0063","-43.304359",44
10-15-2017 15:16:07,C30256,,"-22.984421","-43.20031",30
10-15-2017 15:16:24,C30269,,"-22.954451","-43.357342",43
10-15-2017 15:16:40,D53580,397,"-22.88327","-43.495121",5
10-15-2017 15:17:05,B44595,,"-22.860399","-43.355999",0
10-15-2017 15:18:24,B27183,951,"-22.84898","-43.32325",0
10-15-2017 15:18:49,A48087,213,"-22.910631","-43.269421",0
10-15-2017 15:19:14,D53692,397,"-22.88331","-43.495079",0
10-15-2017 15:21:41,B32806,,"-22.818119","-43.393188",0
10-15-2017 15:24:36,C41259,472,"-22.875214","-43.240555",0
10-15-2017 15:25:16,C82678,363,"-22.858337","-43.371021",0
10-15-2017 15:25:55,A27561,439,"-22.919849","-43.253658",0
10-15-2017 15:26:17,B25578,606,"-22.913731","-43.272709",7
10-15-2017 15:26:24,A72154,422,"-22.888779","-43.292778",0
10-15-2017 15:27:22,B71107,455,"-22.902367","-43.314747",0
10-15-2017 15:27:41,C47757,863,"-22.95302","-43.350109",0
10-15-2017 15:27:48,A48134,426,"-22.910765","-43.270817",0
10-15-2017 15:29:07,C44506,,"-22.860371","-43.356071",0
10-15-2017 15:30:07,C27073,774,"-22.81741","-43.30209",0
10-15-2017 15:30:31,B55151,,"-22.905939","-43.260799",0
10-15-2017 15:30:54,A27665,218,"-22.91626","-43.250938",0
10-15-2017 15:32:06,D53560,,"-22.883801","-43.495899",7
10-15-2017 15:32:17,B11711,773,"-22.811155","-43.372971",0.37
10-15-2017 15:32:36,B44563,638,"-22.860371","-43.35672",0
10-15-2017 15:33:42,D17089,,"-22.919399","-43.607841",0
10-15-2017 15:35:03,C13100,878,"-22.91563","-43.361229",0
10-15-2017 15:35:08,D53686,397,"-22.883039","-43.4893",43
10-15-2017 15:36:33,A37640,117,"-22.901791","-43.196251",0
10-15-2017 15:36:40,B71137,238,"-22.902836","-43.314159",0
10-15-2017 15:37:00,B51505,,"-22.8741","-43.361309",37
10-15-2017 15:37:10,B28733,2344,"-22.814409","-43.188992",0
10-15-2017 15:37:33,B27039,639,"-22.80821","-43.303719",43
10-15-2017 15:37:43,D53656,,"-22.883631","-43.49477",0
10-15-2017 15:39:17,A37505,584,"-22.90255","-43.197079",0
10-15-2017 15:39:44,B11627,773,"-22.811495","-43.372776",0.37
10-15-2017 15:39:59,C41290,315,"-22.87472","-43.241066",0
10-15-2017 15:41:12,C51597,371,"-22.876341","-43.368809",0
10-15-2017 15:41:19,A41032,111,"-22.874704","-43.241623",0
10-15-2017 15:42:20,A48142,539,"-22.910629","-43.269665",0.19
10-15-2017 15:42:33,B51577,265,"-22.877439","-43.368309",0
10-15-2017 15:42:33,D53589,397,"-22.88368","-43.494942",0
